    8192	       0.002008	       0.000547	       0.000383	       0.003051	   5.347354e-01
    4096	       0.001126	       0.000455	       0.000123	       0.001750	   1.686363e-06
    2048	       0.001114	       0.000406	       0.000225	       0.001787	   6.745403e-06
    1024	       0.001153	       0.000373	       0.000099	       0.001667	   2.698086e-05
     512	       0.001167	       0.000335	       0.000217	       0.001761	   1.079113e-04
     256	       0.001235	       0.000300	       0.000099	       0.001675	   4.314482e-04
     128	       0.000963	       0.000259	       0.000198	       0.001462	   1.722635e-03
      64	       0.000856	       0.000223	       0.000066	       0.001186	   6.840311e-03
      32	       0.000868	       0.000187	       0.000061	       0.001158	   2.657969e-02
      16	       0.000850	       0.000152	       0.000061	       0.001103	   9.354088e-02
       8	       0.000862	       0.000117	       0.000061	       0.001080	   2.769624e-01
       4	       0.000788	       0.000085	       0.000060	       0.000973	   3.660636e-01
    8192	       0.001989	       0.000539	       0.000322	       0.002893	   5.347354e-01
    4096	       0.001131	       0.000453	       0.000122	       0.001747	   1.686363e-06
    2048	       0.001121	       0.000411	       0.000227	       0.001801	   6.745403e-06
    1024	       0.001156	       0.000368	       0.000098	       0.001663	   2.698086e-05
     512	       0.001170	       0.000330	       0.000217	       0.001758	   1.079113e-04
     256	       0.001232	       0.000297	       0.000101	       0.001671	   4.314482e-04
     128	       0.000959	       0.000259	       0.000193	       0.001453	   1.722635e-03
      64	       0.000870	       0.000223	       0.000067	       0.001201	   6.840311e-03
      32	       0.000843	       0.000187	       0.000064	       0.001136	   2.657969e-02
      16	       0.000862	       0.000150	       0.000060	       0.001115	   9.354088e-02
       8	       0.000836	       0.000118	       0.000059	       0.001054	   2.769624e-01
       4	       0.000774	       0.000083	       0.000060	       0.000957	   3.660636e-01
    8192	       0.001985	       0.000545	       0.000320	       0.002892	   5.347354e-01
    4096	       0.001131	       0.000456	       0.000123	       0.001751	   1.686363e-06
    2048	       0.001112	       0.000406	       0.000224	       0.001785	   6.745403e-06
    1024	       0.001154	       0.000372	       0.000099	       0.001666	   2.698086e-05
     512	       0.001172	       0.000335	       0.000218	       0.001767	   1.079113e-04
     256	       0.001237	       0.000301	       0.000100	       0.001679	   4.314482e-04
     128	       0.000962	       0.000259	       0.000195	       0.001456	   1.722635e-03
      64	       0.000858	       0.000223	       0.000066	       0.001189	   6.840311e-03
      32	       0.000867	       0.000188	       0.000061	       0.001157	   2.657969e-02
      16	       0.000849	       0.000151	       0.000061	       0.001103	   9.354088e-02
       8	       0.000862	       0.000119	       0.000062	       0.001083	   2.769624e-01
       4	       0.000788	       0.000085	       0.000061	       0.000975	   3.660636e-01
    8192	       0.001985	       0.000541	       0.000320	       0.002888	   5.347354e-01
    4096	       0.001131	       0.000453	       0.000121	       0.001747	   1.686363e-06
    2048	       0.001115	       0.000411	       0.000225	       0.001793	   6.745403e-06
    1024	       0.001152	       0.000367	       0.000098	       0.001660	   2.698086e-05
     512	       0.001172	       0.000330	       0.000218	       0.001761	   1.079113e-04
     256	       0.001232	       0.000296	       0.000100	       0.001670	   4.314482e-04
     128	       0.000960	       0.000259	       0.000195	       0.001456	   1.722635e-03
      64	       0.000871	       0.000224	       0.000067	       0.001204	   6.840311e-03
      32	       0.000843	       0.000187	       0.000061	       0.001134	   2.657969e-02
      16	       0.000862	       0.000151	       0.000062	       0.001117	   9.354088e-02
       8	       0.000838	       0.000119	       0.000060	       0.001059	   2.769624e-01
       4	       0.000774	       0.000083	       0.000060	       0.000957	   3.660636e-01
    8192	       0.001987	       0.000545	       0.000320	       0.002892	   5.347354e-01
    4096	       0.001124	       0.000455	       0.000121	       0.001744	   1.686363e-06
    2048	       0.001118	       0.000407	       0.000229	       0.001797	   6.745403e-06
    1024	       0.001154	       0.000372	       0.000101	       0.001669	   2.698086e-05
     512	       0.001169	       0.000338	       0.000219	       0.001768	   1.079113e-04
     256	       0.001242	       0.000300	       0.000100	       0.001684	   4.314482e-04
     128	       0.000948	       0.000260	       0.000195	       0.001445	   1.722635e-03
      64	       0.000868	       0.000224	       0.000067	       0.001201	   6.840311e-03
      32	       0.000857	       0.000186	       0.000062	       0.001147	   2.657969e-02
      16	       0.000861	       0.000153	       0.000061	       0.001116	   9.354088e-02
       8	       0.000850	       0.000117	       0.000060	       0.001068	   2.769624e-01
       4	       0.000775	       0.000083	       0.000061	       0.000959	   3.660636e-01
    8192	       0.001979	       0.000543	       0.000319	       0.002884	   5.347354e-01
    4096	       0.001126	       0.000456	       0.000120	       0.001745	   1.686363e-06
    2048	       0.001118	       0.000403	       0.000225	       0.001787	   6.745403e-06
    1024	       0.001154	       0.000370	       0.000098	       0.001663	   2.698086e-05
     512	       0.001169	       0.000333	       0.000223	       0.001766	   1.079113e-04
     256	       0.001231	       0.000298	       0.000100	       0.001672	   4.314482e-04
     128	       0.000971	       0.000261	       0.000195	       0.001468	   1.722635e-03
      64	       0.000858	       0.000225	       0.000066	       0.001189	   6.840311e-03
      32	       0.000855	       0.000189	       0.000061	       0.001147	   2.657969e-02
      16	       0.000851	       0.000151	       0.000063	       0.001106	   9.354088e-02
       8	       0.000849	       0.000118	       0.000061	       0.001070	   2.769624e-01
       4	       0.000784	       0.000084	       0.000060	       0.000970	   3.660636e-01
    8192	       0.001990	       0.000546	       0.000319	       0.002898	   5.347354e-01
    4096	       0.001133	       0.000452	       0.000120	       0.001746	   1.686363e-06
    2048	       0.001114	       0.000410	       0.000228	       0.001794	   6.745403e-06
